Sample ID,Session,Strat ,D47 CDES,D47 CDES Carb Corr,T(D47) Petersen
PK95-SC-246-01,Session 1,520,0.549,0.554,42.9
PK95-SC-246-02,Session 1,520,0.545,0.550,44.4
PK95-SC-246-03,Session 1,520,0.537,0.542,47.9
PK95-242-02,Session 1,590,0.524,0.529,53.8
PK95-SC-279-01,Session 1,680,0.534,0.539,49.3
PK95-SC-279-02,Session 1,680,0.526,0.531,52.7
PK95-SC-187-01,Session 1,700,0.562,0.567,37.5
PK95-SC-187-02,Session 1,700,0.583,0.588,29.9
PK95-SC-165-01,Session 1,820,0.578,0.583,31.5
PK95-SC-165-03,Session 1,820,0.594,0.599,25.8
PK95-SC-185-01,Session 1,940,0.583,0.588,29.6
PK95-SC-185-02,Session 1,940,0.590,0.595,27.0
PK95-SC-185-03,Session 1,940,0.577,0.582,32.0
PK95-SC-179-02,Session 1,1080,0.554,0.559,40.9
PK95-SC-179-03,Session 1,1080,0.587,0.592,28.3
PK95-SC-92-01,Session 1,1210,0.587,0.592,28.3
PK95-SC-92-02,Session 1,1210,0.575,0.580,32.6
PK95-SC-118up-01,Session 1,1325,0.564,0.569,36.9
PK95-SC-118up-02,Session 1,1325,0.565,0.570,36.5
PK95-SC-176-01,Session 1,1355,0.545,0.550,44.7
PK95-SC-176-02,Session 1,1355,0.556,0.561,40.0
PK95-SC-50-01,Session 1,1452,0.560,0.565,38.5
PK95-SC-50-02,Session 1,1452,0.564,0.569,36.9
PK95-SC-23-01,Session 1,1495,0.560,0.565,38.4
PK95-SC-23-02,Session 1,1495,0.581,0.586,30.5
PK95-SC-23-03,Session 1,1495,0.574,0.579,33.2
PK95-SC-80-n-1-01,Session 1,1495,0.624,0.629,16.0
PK95-SC-80-n-2-01,Session 1,1495,0.594,0.599,25.6
PK95-SC-80n-2-02,Session 1,1495,0.608,0.613,21.1
PK95-SC-27-01,Session 1,1525,0.540,0.545,46.7
PK95-SC-27-02,Session 1,1525,0.560,0.565,38.2
PK95-SC-27-03,Session 1,1525,0.514,0.519,58.3
PK95-SC-246,Session 2,520,0.578,0.585,30.5
PK95-SC-246,Session 2,520,0.551,0.558,41.0
PK95-SC-165,Session 2,820,0.573,0.581,32.2
PK95-SC-165,Session 2,820,0.591,0.598,25.9
PK95-SC-179,Session 2,1080,0.578,0.585,30.7
PK95-SC-179,Session 2,1080,0.588,0.595,27.0
PK95-SC-179,Session 2,1080,0.584,0.592,28.2
PK95-SC-92,Session 2,1210,0.594,0.601,24.9
PK95-SC-118up,Session 2,1325,0.551,0.559,40.7
PK95-SC-118up,Session 2,1325,0.571,0.579,32.9
PK95-SC-50,Session 2,1425,0.571,0.579,33.0
,,,,,
PB-00-03-08,Session 2,1494.4,0.597,0.604,23.9
PB-00-03-08,Session 2,1494.4,0.593,0.600,25.3
PK95-SC-80-n-1,Session 2,1495,0.578,0.585,30.7
PB-00-03-16,Session 2,1507.4,0.572,0.579,32.8
PB-00-03-16,Session 2,1507.4,0.567,0.575,34.5
PB-00-03-16,Session 2,1507.4,0.580,0.588,29.6
PK95-SC-133,Session 2,1750,0.603,0.611,21.6
PK95-SC-133,Session 2,1750,0.600,0.608,22.6
PK95-SC-27,Session 2,1525,0.553,0.560,40.1
PK95-SC-27,Session 2,1525,0.552,0.560,40.3
PK95-SC-27,Session 2,1525,0.562,0.570,36.4
PK95-SC-4,Session 2,1570,0.563,0.570,36.2
PK95-SC-4,Session 2,1570,0.568,0.576,34.1
PK95-SC-4-SPAR,Session 2,1570,0.464,0.471,83.4
PK95-SC-4-SPAR,Session 2,1570,0.470,0.477,79.9
PB-00-04-14,Session 2,1574.7,0.597,0.605,23.7
PB-00-04-14,Session 2,1574.7,0.592,0.600,25.5
PB-00-04-16,Session 2,1594.2,0.598,0.606,23.4
PB-00-04-16,Session 2,1594.2,0.620,0.627,16.3
PB-00-04-16,Session 2,1594.2,0.606,0.613,20.8
PK95-SC-43,Session 2,1600,0.589,0.596,26.7
PK95-SC-43,Session 2,1600,0.602,0.609,22.1
PK95-SC-43,Session 2,1600,0.584,0.591,28.3
PB-00-03-10,Session 2,,0.582,0.590,29.0
PB-00-03-10,Session 2,,0.598,0.605,23.6
PK95-SC-22-SPAR,Session 2,,0.555,0.563,39.2
PK95-SC-22-SPAR,Session 2,,0.534,0.542,47.8
