/* DATA DESCRIPTION:
Citation:	Barnet, James S K; Littler, Kate; Westerhold, Thomas; Kroon, Dick; Leng, Melanie J; Bailey, Ian; Röhl, Ursula; Zachos, James C (2018): Late Maastrichtian-early Eocene benthic stable carbon and oxygen isotope records from ODP Site 208-1262, South Atlantic [dataset]. College of Engineering, Mathematics and Physical Sciences, University of Exeter, PANGAEA, https://doi.org/10.1594/PANGAEA.884585, 
	In supplement to: Barnet, JSK et al. (2019): A High-Fidelity Benthic Stable Isotope Record of Late Cretaceous–Early Eocene Climate Change and Carbon-Cycling. Paleoceanography and Paleoclimatology, 34(4), 672-691, https://doi.org/10.1029/2019PA003556
Related to:	Barnet, James S K; Littler, Kate; Kroon, Dick; Leng, Melanie J; Westerhold, Thomas; Röhl, Ursula; Zachos, James C (2017): A new high-resolution chronology for the late Maastrichtian warming event: Establishing robust temporal links with the onset of Deccan volcanism. Geology, 46(2), 147-150, https://doi.org/10.1130/G39771.1
	Lauretano, Vittoria; Littler, Kate; Polling, M; Zachos, James C; Lourens, Lucas Joost (2015): Frequency, magnitude and character of hyperthermal events at the onset of the Early Eocene Climatic Optimum. Climate of the Past, 11(10), 1313-1324, https://doi.org/10.5194/cp-11-1313-2015
	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
	McCarren, H; Thomas, E; Hasegawa, Takashi; Röhl, Ursula; Zachos, James C (2008): Depth Dependency of the Paleocene-Eocene carbon isotope excursion: Paired benthic and terrestrial biomarker records (Ocean Drilling Program Leg 208, Walvis Ridge). Geochemistry, Geophysics, Geosystems, 9(10), Q10008, https://doi.org/10.1029/2008GC002116
	Stap, Lennert Bastiaan; Lourens, Lucas Joost; Thomas, E; Sluijs, Appy; Bohaty, Steven M; Zachos, James C (2010): High-resolution deep-sea carbon and oxygen isotope records of Eocene Thermal Maximum 2 and H2. Geology, 38(7), 607-610, https://doi.org/10.1130/G30777.1
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	MEDIAN LATITUDE: -27.185827 * MEDIAN LONGITUDE: 1.576993 * SOUTH-BOUND LATITUDE: -27.186000 * WEST-BOUND LONGITUDE: 1.576980 * NORTH-BOUND LATITUDE: -27.185650 * EAST-BOUND LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T13:00:00 * DATE/TIME END: 2003-03-29T05:15:00
	MINIMUM DEPTH, sediment/rock: 87.7700 m * MAXIMUM DEPTH, sediment/rock: 212.6550 m
Event(s):	208-1262A * LATITUDE: -27.186000 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T13:00:00 * DATE/TIME END: 2003-03-26T12:40:00 * ELEVATION: -4759.0 m * PENETRATION: 161.5 m * RECOVERY: 163.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 161.5 m cored; 0 m drilled; 101.3 % recovery
	208-1262B * LATITUDE: -27.185830 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-27T21:25:00 * ELEVATION: -4753.6 m * PENETRATION: 209.9 m * RECOVERY: 212.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 23 cores; 209.9 m cored; 0 m drilled; 101.3 % recovery
	208-1262C * LATITUDE: -27.185650 * LONGITUDE: 1.576980 * DATE/TIME START: 2003-03-27T21:25:00 * DATE/TIME END: 2003-03-29T05:15:00 * ELEVATION: -4753.6 m * PENETRATION: 212.5 m * RECOVERY: 125.93 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 14 cores; 122.5 m cored; 90 m drilled; 102.8 % recovery
Parameter(s):	Event label (Event) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	Sample code/label (Sample label) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, top/min [m] (Depth top) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: mbsf
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: vs. VPDB
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: vs. VPDB
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: midpoint mbsf
	Depth, composite [mcd] (Depth comp) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: midpoint
	AGE [ka BP] (Age) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: this study
	Reference/source (Reference) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: data
	δ18O, adjusted/corrected [‰] (δ18O) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * METHOD/DEVICE: Corrected * COMMENT: corrected to Cibicidoides
	Bottom water temperature [°C] (BWT) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: Cibicidoides
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	30928 data points
*/
Event	Sample label	Depth top [m]	Foram benth δ13C [‰ PDB]	Foram benth δ18O [‰ PDB]	Depth sed [m]	Depth comp [mcd]	Age [ka BP]	Reference	δ18O [‰]	BWT [°C]
208-1262A	208-1262A-10H-2,76-78	87.760	-0.10	-0.84	87.7700	103.8807	52355.04	Lauretano et al. (2015)	-0.831	14.08
208-1262A	208-1262A-10H-2,79-81	87.790	-0.23	-0.91	87.8000	103.9103	52359.53	Lauretano et al. (2015)	-0.910	14.44
208-1262A	208-1262A-10H-2,82-84	87.820	-0.10	-0.84	87.8300	103.9400	52364.30	Lauretano et al. (2015)	-0.831	14.08
208-1262A	208-1262A-10H-2,85-87	87.850	-0.20	-0.99	87.8600	103.9700	52368.84	Lauretano et al. (2015)	-1.000	14.85
208-1262A	208-1262A-10H-2,88-90	87.880	-0.22	-0.99	87.8900	104.0000	52373.38	Lauretano et al. (2015)	-1.000	14.85
208-1262A	208-1262A-10H-2,91-93	87.910	0.01	-0.85	87.9200	104.0300	52377.91	Lauretano et al. (2015)	-0.843	14.13
208-1262A	208-1262A-10H-2,94-96	87.940	-0.07	-0.87	87.9500	104.0600	52382.45	Lauretano et al. (2015)	-0.865	14.24
208-1262A	208-1262A-10H-2,97-99	87.970	0.11	-0.87	87.9800	104.0900	52386.98	Lauretano et al. (2015)	-0.865	14.24
208-1262A	208-1262A-10H-2,100-102	88.000	0.23	-0.57	88.0100	104.1200	52391.52	Lauretano et al. (2015)	-0.528	12.71
208-1262A	208-1262A-10H-2,103-105	88.030	0.08	-0.78	88.0400	104.1500	52396.06	Lauretano et al. (2015)	-0.764	13.78
208-1262A	208-1262A-10H-2,106-108	88.060	0.25	-0.66	88.0700	104.1800	52400.59	Lauretano et al. (2015)	-0.629	13.16
208-1262A	208-1262A-10H-2,109-111	88.090	0.30	-0.53	88.1000	104.2100	52405.13	Lauretano et al. (2015)	-0.483	12.50
208-1262A	208-1262A-10H-2,112-114	88.120	0.29	-0.52	88.1300	104.2400	52409.66	Lauretano et al. (2015)	-0.472	12.45
208-1262A	208-1262A-10H-2,115-117	88.150	0.26	-0.67	88.1600	104.2700	52414.20	Lauretano et al. (2015)	-0.640	13.21
208-1262A	208-1262A-10H-2,118-120	88.180	0.20	-0.62	88.1900	104.3000	52418.74	Lauretano et al. (2015)	-0.584	12.96
208-1262A	208-1262A-10H-2,121-123	88.210	0.07	-0.72	88.2200	104.3300	52423.27	Lauretano et al. (2015)	-0.697	13.47
208-1262A	208-1262A-10H-2,124-126	88.240	-0.10	-0.84	88.2500	104.3600	52427.81	Lauretano et al. (2015)	-0.831	14.08
208-1262A	208-1262A-10H-2,127-129	88.270	0.12	-0.60	88.2800	104.3900	52432.35	Lauretano et al. (2015)	-0.562	12.86
208-1262A	208-1262A-10H-2,130-132	88.300	0.08	-0.70	88.3100	104.4200	52436.88	Lauretano et al. (2015)	-0.674	13.37
208-1262A	208-1262A-10H-2,133-135	88.330	-0.13	-0.83	88.3400	104.4500	52441.42	Lauretano et al. (2015)	-0.820	14.03
208-1262A	208-1262A-10H-2,136-138	88.360	-0.11	-0.77	88.3700	104.4800	52445.95	Lauretano et al. (2015)	-0.753	13.72
208-1262A	208-1262A-10H-2,139-141	88.390	-0.21	-0.91	88.4000	104.5100	52450.49	Lauretano et al. (2015)	-0.910	14.44
208-1262A	208-1262A-10H-2,142-144	88.420	-0.37	-0.99	88.4300	104.5400	52455.03	Lauretano et al. (2015)	-1.000	14.85
208-1262A	208-1262A-10H-2,145-147	88.450	-0.30	-1.03	88.4600	104.5700	52459.56	Lauretano et al. (2015)	-1.045	15.06
208-1262A	208-1262A-10H-2,148-150	88.480	-0.36	-1.14	88.4900	104.6000	52464.01	Lauretano et al. (2015)	-1.169	15.63
208-1262A	208-1262A-10H-3,1-2	88.510	0.01	-0.72	88.5150	104.6250	52467.67	Lauretano et al. (2015)	-0.697	13.47
208-1262A	208-1262A-10H-3,4-5	88.540	-0.16	-1.03	88.5450	104.6550	52472.07	Lauretano et al. (2015)	-1.045	15.06
208-1262A	208-1262A-10H-3,7-8	88.570	0.21	-0.65	88.5750	104.6850	52476.47	Lauretano et al. (2015)	-0.618	13.11
208-1262A	208-1262A-10H-3,10-11	88.600	0.20	-0.76	88.6050	104.7150	52480.87	Lauretano et al. (2015)	-0.742	13.67
208-1262A	208-1262A-10H-3,13-14	88.630	0.12	-0.72	88.6350	104.7450	52485.26	Lauretano et al. (2015)	-0.697	13.47
208-1262A	208-1262A-10H-3,16-17	88.660	0.34	-0.69	88.6650	104.7750	52489.66	Lauretano et al. (2015)	-0.663	13.32
208-1262A	208-1262A-10H-3,19-20	88.690	0.31	-0.62	88.6950	104.8050	52494.06	Lauretano et al. (2015)	-0.584	12.96
208-1262A	208-1262A-10H-3,22-23	88.720	0.54	-0.47	88.7250	104.8350	52498.46	Lauretano et al. (2015)	-0.416	12.20
208-1262A	208-1262A-10H-3,25-26	88.750	0.22	-0.67	88.7550	104.8650	52502.85	Lauretano et al. (2015)	-0.640	13.21
208-1262A	208-1262A-10H-3,28-29	88.780	0.30	-0.66	88.7850	104.8950	52507.25	Lauretano et al. (2015)	-0.629	13.16
208-1262A	208-1262A-10H-3,31-32	88.810	0.11	-0.72	88.8150	104.9250	52511.65	Lauretano et al. (2015)	-0.697	13.47
208-1262A	208-1262A-10H-3,34-35	88.840	0.12	-0.78	88.8450	104.9550	52516.05	Lauretano et al. (2015)	-0.764	13.78
208-1262A	208-1262A-10H-3,37-38	88.870	0.10	-0.79	88.8750	104.9850	52520.45	Lauretano et al. (2015)	-0.775	13.83
208-1262A	208-1262A-10H-3,40-41	88.900	0.20	-0.63	88.9050	105.0150	52524.84	Lauretano et al. (2015)	-0.596	13.01
208-1262A	208-1262A-10H-3,43-44	88.930	0.23	-0.66	88.9350	105.0450	52529.24	Lauretano et al. (2015)	-0.629	13.16
208-1262A	208-1262A-10H-3,46-47	88.960	0.17	-0.61	88.9650	105.0750	52533.64	Lauretano et al. (2015)	-0.573	12.91
208-1262A	208-1262A-10H-3,49-50	88.990	0.35	-0.59	88.9950	105.1050	52538.04	Lauretano et al. (2015)	-0.551	12.81
208-1262A	208-1262A-10H-3,52-53	89.020	0.14	-0.66	89.0250	105.1350	52542.44	Lauretano et al. (2015)	-0.629	13.16
208-1262A	208-1262A-10H-3,55-56	89.050	0.27	-0.59	89.0550	105.1650	52546.83	Lauretano et al. (2015)	-0.551	12.81
208-1262A	208-1262A-10H-3,58-59	89.080	0.24	-0.65	89.0850	105.1950	52551.23	Lauretano et al. (2015)	-0.618	13.11
208-1262A	208-1262A-10H-3,61-62	89.110	0.22	-0.65	89.1150	105.2250	52555.63	Lauretano et al. (2015)	-0.618	13.11
