Bowen_Soil_ID,Bowen_Sample_ID,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
PB-00-01-01,1A,PB-00-01-01-1A,PB-00-01-01,1500.9,-12.3,-9.1,21.538628
PB-00-01-01,1B,PB-00-01-01-1B,PB-00-01-01,1500.9,-12.3,-9.3,21.332444
PB-00-01-01,2A,PB-00-01-01-2A,PB-00-01-01,1500.9,-12.4,-9.1,21.538628
PB-00-01-01,2B,PB-00-01-01-2B,PB-00-01-01,1500.9,-12.6,-8.8,21.847904
PB-00-01-02,1A,PB-00-01-02-1A,PB-00-01-02,1502.2,-12.9,-8.2,22.466456
PB-00-01-02,1B,PB-00-01-02-1B,PB-00-01-02,1502.2,-12.5,-8.1,22.569548
PB-00-01-02,2A,PB-00-01-02-2A,PB-00-01-02,1502.2,-12.3,-8.2,22.466456
PB-00-01-02,2B,PB-00-01-02-2B,PB-00-01-02,1502.2,-12.3,-8.2,22.466456
PB-00-01-03,1A,PB-00-01-03-1A,PB-00-01-03,1504.9,-14.2,-8.6,22.054088
PB-00-01-03,1B,PB-00-01-03-1B,PB-00-01-03,1504.9,-14.1,-8.5,22.15718
PB-00-01-04,1A,PB-00-01-04-1A,PB-00-01-04,1506.5,-14.2,-9,21.64172
PB-00-01-04,1B,PB-00-01-04-1B,PB-00-01-04,1506.5,-14.2,-8.9,21.744812
PB-00-01-04,2A,PB-00-01-04-2A,PB-00-01-04,1506.5,-13.5,-9,21.64172
PB-00-01-04,2B,PB-00-01-04-2B,PB-00-01-04,1506.5,-13.6,-8.9,21.744812
PB-00-01-05,1A,PB-00-01-05-1A,PB-00-01-05,1507.3,-15.7,-8.7,21.950996
PB-00-01-05,1B,PB-00-01-05-1B,PB-00-01-05,1507.3,-15.9,-8.7,21.950996
PB-00-01-05,2A,PB-00-01-05-2A,PB-00-01-05,1507.3,-16.7,-8.9,21.744812
PB-00-01-05,2B,PB-00-01-05-2B,PB-00-01-05,1507.3,-16.6,-8.8,21.847904
PB-00-01-05,3A,PB-00-01-05-3A,PB-00-01-05,1507.3,-15,-8.4,22.260272
PB-00-01-05,3B,PB-00-01-05-3B,PB-00-01-05,1507.3,-15.1,-8.2,22.466456
PB-00-01-05,4A,PB-00-01-05-4A,PB-00-01-05,1507.3,-16,-8.1,22.569548
PB-00-01-05,4B,PB-00-01-05-4B,PB-00-01-05,1507.3,-16,-8.1,22.569548
PB-00-01-06,1A,PB-00-01-06-1A,PB-00-01-06,1508,-14.2,-8.9,21.744812
PB-00-01-06,1B,PB-00-01-06-1B,PB-00-01-06,1508,-14.2,-8.9,21.744812
PB-00-01-06,2A,PB-00-01-06-2A,PB-00-01-06,1508,-14,-8.7,21.950996
PB-00-01-06,2B,PB-00-01-06-2B,PB-00-01-06,1508,-14,-8.7,21.950996
PB-00-01-06,3A,PB-00-01-06-3A,PB-00-01-06,1508,-14.4,-8.6,22.054088
PB-00-01-06,3B,PB-00-01-06-3B,PB-00-01-06,1508,-14.6,-8.8,21.847904
PB-00-01-06,4A,PB-00-01-06-4A,PB-00-01-06,1508,-14.6,-8.8,21.847904
PB-00-01-06,4B,PB-00-01-06-4B,PB-00-01-06,1508,-13.9,-8.5,22.15718
PB-00-01-07,1A,PB-00-01-07-1A,PB-00-01-07,1508.7,-14.5,-7.9,22.775732
PB-00-01-07,1B,PB-00-01-07-1B,PB-00-01-07,1508.7,-14.7,-7.9,22.775732
PB-00-01-07,2A,PB-00-01-07-2A,PB-00-01-07,1508.7,-14.3,-8.1,22.569548
PB-00-01-07,2B,PB-00-01-07-2B,PB-00-01-07,1508.7,-14,-8.1,22.569548
