Locality,Paleolatitude,Interval,NALMA,d18Oriver,MAWT,MAAT
"Big Bend, Texas",29,Early Eocene,Wa-6,−0.5‰,32.5 °C,31.5
"San Juan Basin, New Mexico",36,Early Eocene,Wa-6,−2.8‰,28.8 °C,27.8
"Green River Basin, Wyoming",44,Early Eocene,Wa-6,−3.9‰,16.5 °C,15.5
"Bighorn Basin, Wyoming",45,Early Eocene,Wa-6,−8.2‰,19.3 °C,18.3
"Bighorn Basin, Wyoming — PETM",45,PETM,Wa-0,−5.6‰,26.3 °C,25.3
"Powder River Basin, Wyoming",45,Early Eocene,Wa-2,−7.0‰,19.7 °C,18.7
Ellesmere Island,73,Early Eocene,Wasatchian,−19.1‰,5.0 °C,4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
