MLA_horizon_id,strat_height_m,data_combo,has_IPL17O,IPL17O_n_analyses,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_mean_d18Ocarb,has_IPLD47,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_range_T47_C,IPLD47_sessions,has_CUD47,CU_sample_id,CU_mean_T47_C,CU_2se_T47_C,has_any_D47
PK95-SC-246,520,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,5,41.34,6.56604904,2.9364264,17.4,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-242,590,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,1,53.8,NA,NA,0,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-279,680,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,51,2.404163056,1.7,3.4,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-187,700,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,33.7,5.374011537,3.8,7.6,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-198,760,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-165,820,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,4,28.85,3.476108936,1.738054468,6.4,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-85,860,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-185,940,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,3,29.53333333,2.500666578,1.443760522,5,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-191,1015,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-179,1080,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,5,31.02,5.6839247,2.541928402,13.9,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-92,1210,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,3,28.6,3.858756276,2.227853975,7.7,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
SNELL-SC-188,1220,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-93,1250,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-188,1280,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
SNELL-SC-62,1305,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-118up,1325,IPL 17O + IPL D47,TRUE,2,-90.50807056,5.161815297,3.6499546,20.39637005,TRUE,4,36.75,3.189043744,1.594521872,7.8,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-176,1355,IPL 17O + IPL D47,TRUE,2,-84.85714516,0.206394853,0.1459432,22.51873,TRUE,2,42.35,3.323401872,2.35,4.7,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-116,1380,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-49,1380,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-62,1380,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-56,1385,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-50,1425,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,3,36.13333333,2.829016319,1.633333333,5.5,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-22,1460,IPL 17O only,TRUE,1,-116.3326585,NA,NA,23.01763124,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-02,1480.8,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-03,1481.3,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-04,1482,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-05,1482.7,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-06,1483.4,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-07,1486,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-08,1494.4,IPL 17O + IPL D47 + CU D47,TRUE,2,-109.5414845,3.902234886,2.75929675,16.7351,TRUE,2,24.6,0.989949494,0.7,1.4,Session 2,TRUE,PB-00-03-08,16.8,4.6,TRUE
PK95-SC-23,1495,IPL 17O + IPL D47,TRUE,1,-94.10682535,NA,NA,21.73006359,TRUE,3,34.03333333,4.015387071,2.318284807,7.9,Session 1,FALSE,NA,NA,NA,TRUE
PK95-SC-80,1495,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-80-n1,1495,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,23.35,10.39446968,7.35,14.7,"Session 1, Session 2",FALSE,NA,NA,NA,TRUE
PK95-SC-80-n2,1495,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,23.35,3.181980515,2.25,4.5,Session 1,FALSE,NA,NA,NA,TRUE
PB-00-03-10,1495.4,IPL D47 + CU D47,FALSE,NA,NA,NA,NA,NA,TRUE,2,26.3,3.818376618,2.7,5.4,Session 2,TRUE,PB-00-03-10,29.6,3.4,TRUE
PB-00-03-11,1498.5,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-11,27.7,4.2,TRUE
PB-00-03-12,1499.7,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-13,1500.3,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-13,28.2,3.6,TRUE
PB-00-01-01,1500.9,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-02,1502.2,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-67,1503.2,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-67-1,1503.2,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-24-LW,1504,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-03,1504.9,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
