MLA_sample_id,MLA_horizon_id,Session,strat_height_m,IPL_NuDog_d13Ccarb_VPDB,IPL_NuDog_d18Ocarb_VPDB,IPL_NuDog_d18Ocarb_VSMOW,D47 CDES,D47 CDES Carb Corr,T(D47) Petersen,T47_preferred,final_corrections,IPLnum,Sample_Name,correction_source
PK95-SC-80-n1,PK95-SC-80-n1,Session 1,1495,-9.880298983,-7.90864668,22.7668179646544,0.624,0.629,16,16,TRUE,4758,PK95-SC-80-n-1-01,Ben T47; Will mineral isotopes
PB-00-04-16,PB-00-04-16,Session 2,1594.2,-9.265679527,-8.320335221,22.34240001396668,0.62,0.627,16.3,16.3,TRUE,4872,PB-00-04-16,Ben T47; Will mineral isotopes
PB-00-04-16,PB-00-04-16,Session 2,1594.2,-9.268320296,-8.33582745,22.326428765246,0.606,0.613,20.8,20.8,TRUE,4873,PB-00-04-16,Ben T47; Will mineral isotopes
PK95-SC-80-n2,PK95-SC-80-n2,Session 1,1495,-13.70676492,-7.830155878,22.84773570225224,0.608,0.613,21.1,21.1,TRUE,4779,PK95-SC-80n-2-02,Ben T47; Will mineral isotopes
PK95-SC-133,PK95-SC-133,Session 2,1750,-9.628006185,-8.345689964,22.316261302313123,0.603,0.611,21.6,21.6,TRUE,4893,PK95-SC-133,Ben T47; Will mineral isotopes
PK95-SC-43,PK95-SC-43,Session 2,1600,-8.041543856,-8.544332667,22.11147656693636,0.602,0.609,22.1,22.1,TRUE,4876,PK95-SC-43,Ben T47; Will mineral isotopes
PK95-SC-133,PK95-SC-133,Session 2,1750,-9.470368032,-8.353307442,22.30840829189336,0.6,0.608,22.6,22.6,TRUE,4895,PK95-SC-133,Ben T47; Will mineral isotopes
PB-00-04-16,PB-00-04-16,Session 2,1594.2,-9.279032764,-8.31901449,22.3437615819692,0.598,0.606,23.4,23.4,TRUE,4870,PB-00-04-16,Ben T47; Will mineral isotopes
PB-00-03-10,PB-00-03-10,Session 2,1495.4,-9.75055816,-8.359536762,22.30198636131896,0.598,0.605,23.6,23.6,TRUE,4899,PB-00-03-10,Ben T47; Will mineral isotopes
PB-00-04-14,PB-00-04-14,Session 2,1574.7,-8.64175439,-8.130437737,22.538169128171962,0.597,0.605,23.7,23.7,TRUE,4896,PB-00-04-14,Ben T47; Will mineral isotopes
PB-00-03-08,PB-00-03-08,Session 2,1494.4,-9.156010624,-7.551528337,23.13497840681996,0.597,0.604,23.9,23.9,TRUE,4862,PB-00-03-08,Ben T47; Will mineral isotopes
