Koch_Sample,section,Locality,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
SC 111-1A,CFB,SC 111,PK95-SC-111,PK95-SC-111,2005,-8.3,-8.46,22.19
SC 111-1B,CFB,SC 111,PK95-SC-111,PK95-SC-111,2005,-8.55,-8.39,22.26
SC 111-1C,CFB,SC 111,PK95-SC-111-SPAR,PK95-SC-111,2005,-9.9,13.4,44.724194
SC 112-1A,CFB,SC 112,PK95-SC-112,PK95-SC-112,2020,-8.61,-8.83,21.81
SC 112-1B,CFB,SC 112,PK95-SC-112,PK95-SC-112,2020,-8.3,-8.46,22.19
SC 116-1A,CFB,SC 116,PK95-SC-116,PK95-SC-116,1380,-7.72,-8.96,21.67
SC 116-1B,CFB,SC 116,PK95-SC-116,PK95-SC-116,1380,-8.14,-8.81,21.83
SC 116-1C,CFB,SC 116,PK95-SC-116,PK95-SC-116,1380,-7.14,-8.51,22.14
SC 118 UP-1A,CFB,SC 118 UP,PK95-SC-118-UP,PK95-SC-118up,1325,-7.87,-9.57,21.04
SC 118 UP-1B,CFB,SC 118 UP,PK95-SC-118-UP,PK95-SC-118up,1325,-7.4,-9.08,21.55
SC 118 UP-2,CFB,SC 118 UP,PK95-SC-118-UP,PK95-SC-118up,1325,-7.98,-9.99,20.61
SC 133-3A,CFB,SC 133,PK95-SC-133,PK95-SC-133,1750,-8.9,-8.77,21.87
SC 133-3B,CFB,SC 133,PK95-SC-133,PK95-SC-133,1750,-8.81,-8.8,21.84
SC 133-3C,CFB,SC 133,PK95-SC-133,PK95-SC-133,1750,-9.15,-8.59,22.05
SC 133-3D,CFB,SC 133,PK95-SC-133-SPAR,PK95-SC-133,1750,-9.2,,22
SC 133-3D,CFB,SC 133,PK95-SC-133-SPAR,PK95-SC-133,1750,-7.4,,17.8
SC 148-LW-1,CFB,SC 148,PK95-SC-148-LW,PK95-SC-148lwr,2047,-8.23,-8.03,22.63
SC 148-LW-2,CFB,SC 148,PK95-SC-148-LW,PK95-SC-148lwr,2047,-8.42,-8.16,22.5
SC 148-UP-1,CFB,SC 148,PK95-SC-148-UP,PK95-SC-148up,2050,-7.77,-8.67,21.97
SC 15-1A,CFB,SC 15,PK95-SC-15,PK95-SC-15,1630,-8.45,-8.79,21.85
SC 15-2,CFB,SC 15,PK95-SC-15,PK95-SC-15,1630,-8.2,-8.96,21.67
SC 160-2,CFB,SC 160,PK95-SC-160,PK95-SC-160,1720,-9.09,-8.06,22.6
SC 160-2B,CFB,SC 160,PK95-SC-160-SPAR,PK95-SC-160,1720,-9.1,,22.6
SC 161-1,CFB,SC 161,PK95-SC-161,PK95-SC-161,1665,-8.55,-8.65,21.99
SC 161-2A,CFB,SC 161,PK95-SC-161,PK95-SC-161,1665,-9.35,-7.8,22.87
SC 165-1,CFB,SC 165,PK95-SC-165,PK95-SC-165,820,-6.04,-8.39,22.26
SC 176-1,CFB,SC 176,PK95-SC-176,PK95-SC-176,1355,-8.67,-8.29,22.36
SC 179-1,CFB,SC 179,PK95-SC-179,PK95-SC-179,1080,-6.9,-8.17,22.49
SC 179-2,CFB,SC 179,PK95-SC-179,PK95-SC-179,1080,-6.99,-8.72,21.92
SC 185-1,CFB,SC 185,PK95-SC-185,PK95-SC-185,940,-8.16,-8.38,22.27
SC 185-2A,CFB,SC 185,PK95-SC-185,PK95-SC-185,940,-8.24,-8.33,22.32
SC 185-2B,CFB,SC 185,PK95-SC-185,PK95-SC-185,940,-8.84,-7.86,22.81
SC 187-1,CFB,SC 187,PK95-SC-187,PK95-SC-187,700,-6.63,-8.6,22.04
SC 188-1,CFB,SC 188,PK95-SC-188,PK95-SC-188,1280,-6.5,-8.37,22.28
SC 188-2A,CFB,SC 188,PK95-SC-188,PK95-SC-188,1280,-6.63,-8.74,21.9
SC 188-3,CFB,SC 188,PK95-SC-188,PK95-SC-188,1280,-6.67,-8.46,22.19
SC 191-1,CFB,SC 191,PK95-SC-191,PK95-SC-191,1015,-8.05,-9.84,20.77
SC 198-1,CFB,SC 198,PK95-SC-198,PK95-SC-198,760,-6.8,-8.12,22.54
SC 198-2,CFB,SC 198,PK95-SC-198,PK95-SC-198,760,-6.78,-8.26,22.39
SC 22-1,CFB,SC 22,PK95-SC-22,PK95-SC-22,1460,-7.56,-7.44,23.24
SC 22-2,CFB,SC 22,PK95-SC-22,PK95-SC-22,1460,-7.81,-7.76,22.91
SC 224-1A,CFB,SC 224,PK95-SC-224,PK95-SC-224,1815,-8.56,-8.67,21.97
SC 224-1B,CFB,SC 224,PK95-SC-224,PK95-SC-224,1815,-8.6,-8.54,22.11
SC 23-1A,CFB,SC 23,PK95-SC-23,PK95-SC-23,1495,-8.06,-8.77,21.87
SC 23-1B,CFB,SC 23,PK95-SC-23,PK95-SC-23,1495,-7.96,-8.96,21.67
SC 23-2A,CFB,SC 23,PK95-SC-23,PK95-SC-23,1495,-7.95,-8.51,22.14
SC 23-2B,CFB,SC 23,PK95-SC-23,PK95-SC-23,1495,-8.07,-8.55,22.1
SC 23-3A,CFB,SC 23,PK95-SC-23,PK95-SC-23,1495,-8,-8.68,21.96
SC 23-3B,CFB,SC 23,PK95-SC-23,PK95-SC-23,1495,-8,-8.72,21.92
SC 24 LW-2A,CFB,SC 24 LW,PK95-SC-24-LW,PK95-SC-24-LW,1504,-10.1,-8.02,22.64
SC 24 LW-2B,CFB,SC 24 LW,PK95-SC-24-LW,PK95-SC-24-LW,1504,-9.28,-8.05,22.61
SC 24 LW-2C,CFB,SC 24 LW,PK95-SC-24-LW,PK95-SC-24-LW,1504,-10.41,-8.2,22.46
SC 24 LW-3A,CFB,SC 24 LW,PK95-SC-24-LW,PK95-SC-24-LW,1504,-9.66,-7.6,23.08
