base_m,top_m,label,column,,
0,1480,Fort Union,Formation,,
1480,2300,Willwood,Formation,,
0,480,Mantua Lentil,Member,,
480,810,Silver Coulee beds,Member,,
810,1600,Clarkfork beds,Member,,
0,470,C26r,Chron,,
470,1600,C25r,Chron,,
0,810,Tiffanian,LMA,,
810,1500,Clarkforkian,LMA,,
1500,2300,Wasatchian,LMA,,
0,155,(blank),Biozone,,
155,215,Ti-2,Biozone,,
215,415,Ti-3,Biozone,,
415,530,Ti-4,Biozone,,
530,655,Ti-5a,Biozone,,
655,820,Ti-5b,Biozone,,
820,885,Ti-6,Biozone,,
885,1180,Cf-1,Biozone,,
1180,1335,Cf-2,Biozone,,
1335,1506,Cf-3,Biozone,,
1506,1543,Wa-0,Biozone,,
1543,1645,Wa-1,Biozone,,
1645,1750,Wa-2,Biozone,,
1750,1780,Wa-3a,Biozone,,
1780,2020,Wa-3b,Biozone,,
2020,2200,Wa-4,Biozone,,
2200,2240,Wa-5,Biozone,,
