est_Depth_m_PCB_outcrop,Age_Ma_best_estimate
2200,54
1613.8,55.626
1605.6,55.647
1598.2,55.668
1590.5,55.689
1583.5,55.71
1577.1,55.731
1570.7,55.752
1563.5,55.773
1555.85,55.794
1547.3,55.815
1539.1,55.836
1530.6,55.857
1522,55.878
1514.2,55.899
1506.35,55.92
1503,55.93
1498.7,55.94
1491.7,55.961
1482.4,55.982
1475.2,56.003
1466.7,56.024
1457.7,56.045
1450.5,56.066
1440,56.087
1432.2,56.108
1413,56.171
1393.1,56.234
1386,56.255
1378.2,56.276
1370.1,56.297
787,57.656
470,58.959
370,59.237
331,59.3
83,62.278
