CU_Sample_ID,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPBD,d18O_SE_VPBD,d18Ocarb_VPBD,D47_ICDES,D47_SE_ICDES,T47_C,T47_2SE_C,d18Ow_VSMOW,d18Ow_SE_VSMOW
PB-00-04-16,PB-00-04-16,PB-00-04-16,1594.2,-9.20531781,0.066496403,-8.692327342,0.61687479,0.005674388,17.5,3.4,-7.9,0.4
PB-00-04-14,PB-00-04-14,PB-00-04-14,1574.7,-8.35497008,0.054004984,-8.206350292,0.601624107,0.004326326,22.4,3.2,-6.4,0.3
PB-00-02-21,PB-00-02-21,PB-00-02-21,1549,-9.961553311,NA,-8.512886112,0.574681602,NA,31.7,NA,-4.8,NA
PB-00-02-19,PB-00-02-19,PB-00-02-19,1545.1,-9.363531532,0.02982413,-8.39028023,0.59349061,0.009264559,25.1,5,-6,0.5
PB-00-02-09L,PB-00-02-09L,PB-00-02-09L,1530.5,-12.84085808,0.072516375,-7.8678138,0.58734529,0.004809248,27.2,3.6,-5.1,0.4
PB-00-02-07D,PB-00-02-07D,PB-00-02-07D,1526.3,-14.0358954,0.032992648,-7.531194091,0.572796876,0.006240161,32.4,4.4,-3.7,0.5
PB-00-03-20,PB-00-03-20,PB-00-03-20,1512.3,-14.49982912,0.010430627,-8.01233627,0.564882475,0.004011078,35.3,3.8,-3.6,0.4
PB-00-01-07,PB-00-01-07,PB-00-01-07,1508.7,-14.63455875,0.067027511,-7.784336778,0.570113875,0.004544077,33.4,3.8,-3.8,0.4
PB-00-03-17,PB-00-03-17,PB-00-03-17,1507.8,-14.94855745,0.097055277,-7.704695354,0.56147866,0.007038426,36.6,4.8,-3.1,0.5
PB-00-03-16,PB-00-03-16,PB-00-03-16,1507.4,-14.65522362,0.118200551,-7.830779304,0.567372939,0.003250028,34.4,3.6,-3.6,0.3
PB-00-03-14,PB-00-03-14,PB-00-03-14,1504.9,-12.85556148,0.104848633,-8.368606213,0.574361129,0.005036208,31.8,3.8,-4.7,0.4
PB-00-03-13,PB-00-03-13,PB-00-03-13,1500.3,-9.924835243,0.075409558,-7.792179248,0.584453852,0.004538279,28.2,3.6,-4.8,0.4
PB-00-03-11,PB-00-03-11,PB-00-03-11,1498.5,-9.570683039,0.033071242,-8.183042688,0.585868693,0.007006512,27.7,4.2,-5.3,0.4
PB-00-03-10,PB-00-03-10,PB-00-03-10,1495.4,-9.486684865,0.04297839,-8.343812606,0.580496341,0.003360098,29.6,3.4,-5.1,0.4
PB-00-03-08,PB-00-03-08,PB-00-03-08,1494.4,-9.112717832,0.070237933,-7.684135508,0.619039024,0.009275489,16.8,4.6,-7,0.5
