horizon_id,Sample_ID,IPL num,User,Type 1 ,Type 2,NAME,d17O,d'17O,d17O err,d18O,d'18O,d18O err,CAP 17O,CAP17O err,d33,d33 err,d34,d34 err,d35,d35 err,d36,d36 err,Date Time,version,33 mismatch R2,34 mismatch R2,d17O SMOW,d18O SMOW,d17O SMOW-SLAP,d18O SMOW-SLAP,"d'17O Final, as O2","d'18O Final, as O2","D17O Final, as O2","D17O per meg, as O2",Average,Stdev,Comments,flag.major,flag.analysis,"d'17O corrected, as O2","d'18O corrected, as O2","D17O corrected, as O2","D17O corrected (per meg), as O2",d'18O carb correction magnitude,"d17O, as O2","d18O, as O2","d17O, as mineral","d18O, as mineral","d'17O, as mineral","d'18O, as mineral","D'17O, as mineral","D'17O, as mineral, per meg","D'17O, as mineral",D'17Ocarb_final,"d'17O, recalculated, as mineral"
SC-160-PK95,SC-160-PK95,5829,mla,Carbonate,PETM Bighorn,Data_3606 IPL-17O-5829 PK95-SC-160-R34-01 1,12.7460424,12.66549506,0.00366301,24.73017112,24.42933017,0.002015855,-0.233191267,0.003537018,2.421105019,0.00362567,4.342027951,0.001975748,5.247197071,0.148841301,102.2137296,0.059238495,9/23/25 12:10,2.5,4.34E-05,1.06E-05,13.44958325,26.01328499,14.0710488,27.1835302,13.97297054,26.8206202,-0.18831692,-188.316923,,,,0,0,14.738,28.269,-0.188,-188,1.4,14.847,28.673,10.53,20.312,10.475,20.109,-0.143,-143,-0.143,-134,10.475
SC-49-PK95,SC-49-PK95,5830,mla,Carbonate,PETM Bighorn,Data_3607 IPL-17O-5830 Pk95-SC-49-R34-01 1,11.13907728,11.07749109,0.014232355,21.46052156,21.23348648,0.005515812,-0.14205465,0.01397769,0.81752346,0.01510451,1.136129308,0.005420665,11.70247209,0.512205295,724.6386294,0.268495427,9/23/25 15:13,2.5,0.097715006,0.097565911,11.82835934,22.73821086,12.3749129,23.7611222,12.29896954,23.4832203,-0.10017076,-100.1707568,,,,0,0,12.735,24.308,-0.1,-100,0.8,12.816,24.606,8.507,16.279,8.471,16.147,-0.054,-54,-0.054,-46,8.471
SC-176-PK95,SC-176-PK95,5831,eyl,Carbonate,PETM Bighorn,Data_3608 IPL-17O-5831 PK95-SC-176-R34-01 1,13.57188032,13.48060687,0.004502681,26.23691567,25.898632,0.001727322,-0.193870825,0.004586046,3.238523526,0.00445678,5.81879415,0.001692955,7.804782606,0.138067927,106.930532,0.062282577,9/23/25 18:04,2.5,0.033144024,0.025995664,14.27599487,27.52191621,14.9356464,28.7600294,14.82520795,28.3542221,-0.14582132,-145.8213195,,,,0,0,15.742,30.09,-0.146,-146,1.7,15.866,30.547,11.544,22.171,11.478,21.929,-0.1,-100,-0.1,-91,11.478
SC-54-PK95,SC-54-PK95,5832,mla,Carbonate,PETM Bighorn,Data_3609 IPL-17O-5832 PK95-SC-54-R34-01 1,13.52383188,13.43320066,0.004660094,26.12965527,25.79410834,0.002100899,-0.18608855,0.004976374,3.190964941,0.00461258,5.713667817,0.002059099,7.699232519,0.138186298,96.36017744,0.06151045,9/23/25 20:45,2.5,0.043105982,0.049662941,14.22791305,27.41452151,14.8853429,28.6478034,14.77564344,28.2451275,-0.13778389,-137.7838919,,,,0,0,15.681,29.96,-0.138,-138,1.7,15.805,30.413,11.483,22.039,11.418,21.799,-0.092,-92,-0.092,-83,11.418
SC-118-UP-PK95,SC-118UPPER-PK95,5833,mla,Carbonate,PETM Bighorn,Data_3610 IPL-17O-5833 PK95-SC-118UPPER-R34-01 1,12.32504692,12.24971157,0.004177504,23.8466852,23.56679388,0.001580281,-0.193555597,0.004233169,2.004401586,0.00413491,3.476119969,0.001548839,3.172523239,0.151928418,92.28008936,0.062074868,9/24/25 12:46,2.5,0.041550425,0.044439988,13.02829531,25.12869282,13.6302944,26.2591434,13.53823746,25.9202913,-0.14767634,-147.6763362,,,,0,0,14.214,27.201,-0.148,-148,1.3,14.316,27.574,10.001,19.222,9.951,19.04,-0.102,-102,-0.102,-93,9.951
SC-118-UP-PK95,SC-118UPPER-PK95,5836,mla,Carbonate,PETM Bighorn,Data_3613 IPL-17O-5836 PK95-SC-118UPPER-R34-02 1,13.23365677,13.1468564,0.005198346,25.60435758,25.28205591,0.00200111,-0.202069126,0.00534244,2.903748164,0.00514535,5.198821501,0.001961296,6.557783168,0.121993662,90.99660795,0.058499594,9/25/25 15:08,2.5,0.00956707,0.01797498,13.93753636,26.88856606,14.5815488,28.0981871,14.47626025,27.7106752,-0.15497627,-154.976266,-151.326,5.1618,,0,0,15.329,29.326,-0.155,-155,1.6,15.447,29.76,11.127,21.39,11.066,21.165,-0.109,-109,-0.109,-101,11.066
SC-54-PK95,SC-54-PK95,5837,mla,Carbonate,PETM Bighorn,Data_3614 IPL-17O-5837 PK95-SC-54-R34-02 1,13.48336006,13.39326814,0.004251561,26.09062793,25.75607411,0.001587395,-0.205938996,0.004319484,3.150905728,0.00420822,5.675416962,0.001555812,7.650855182,0.132449031,106.2398745,0.056954236,9/25/25 18:05,2.5,9.17E-05,6.54E-05,14.18741311,27.37544529,14.8429716,28.6069693,14.73389271,28.2054299,-0.15857425,-158.5742511,-148.179,14.701,,0,0,15.636,29.913,-0.159,-159,1.7,15.758,30.365,11.437,21.99,11.372,21.752,-0.113,-113,-0.113,-104,11.372
SC-176-PK95,SC-176-PK95,5838,mla,Carbonate,PETM Bighorn,Data_3615 IPL-17O-5838 PK95-SC-176-R34-02 1,13.784,13.69,0.004,26.645,26.296,0.002,-0.194,0.004,3.449,0.004,6.218,0.002,8.303,0.137,111.283,0.06,45925.863,2.5,0.083,0.078,14.48859194,27.93001894,15.158067,29.1864912,15.04433139,28.7686758,-0.14552946,-145.5294602,-145.675,0.2064,,0,0,16.002,30.582,-0.146,-146,1.8,16.13,31.054,11.807,22.674,11.738,22.421,-0.1,-100,-0.1,-91,11.738
SC-56-PK95,SC-56-PK95,5841,mla,Carbonate,PETM Bighorn,Data_3618 IPL-17O-5841 PK95-SC-56-R34-01 1,9.274175008,9.231430488,0.013711745,18.0942982,17.93254414,0.005547653,-0.245634398,0.012946549,-1.021633419,0.01373686,-2.161816915,0.005437276,-5.139598806,0.467643925,688.8491573,0.239038759,9/29/25 12:45,2.5,0.140207612,0.140073285,9.968968352,19.36910298,10.4296049,20.2404501,10.37559184,20.0383349,-0.20464899,-204.6489904,,,,0,0,10.471,20.22,-0.205,-205,0.2,10.526,20.425,6.227,12.132,6.208,12.059,-0.159,-159,-0.159,-150,6.208
SC-161-PK95,SC-161-PK95,5842,mla,Carbonate,PETM Bighorn,Data_3619 IPL-17O-5842 PK95-SC-161-R34-01 1,13.45315676,13.36346614,0.004710516,26.02610751,25.69319228,0.001730925,-0.202539386,0.004953333,3.121010352,0.00466249,5.612180249,0.001696487,6.788513773,0.122878934,113.8662834,0.06484622,9/29/25 15:35,2.5,0.002201064,0.000683639,14.15718883,27.31084409,14.8113507,28.5394619,14.70273385,28.1397978,-0.15507938,-155.0793769,,,,0,0,15.598,29.835,-0.155,-155,1.7,15.72,30.285,11.399,21.911,11.335,21.674,-0.109,-109,-0.109,-101,11.335
