snell2013_age_ma,section,strat_height_m,Snell_Sample_ID,MLA_sample_id,MLA_horizon_id,Sample_Type,Average_d18Ow_permil_SMOW,Average_d18Oc_permil_SMOW,Average_d13Cc_permil_PDB,Average_D47_permil,D47_1se,Average_Temp_C,Temp_1se,Comments
53,MCP,2566,41-1435-2,41-1435-2,41-1435-2,Paleosol Micrite,-2.3,22.8,-11.4,0.578,0.006,41.5,2.3,
53,MCP,2566,41-1435-6,41-1435-6,41-1435-6,Paleosol Micrite,-1.9,22.6,-11.5,0.566,0.032,44.8,8.9,
53.4,MCP,2332,35-1190-2,35-1190-2,35-1190-2,Paleosol Micrite,-4.1,22.5,-10.6,0.609,0.006,33.8,2,
53.6,MCP,2179,32-1030-3,32-1030-3,32-1030-3,Paleosol Micrite,-5.2,22.1,-8.8,0.624,0.008,30,2.3,
54.1,CFB,2210,SC-295,SC-295,SNELL-SC-295,Paleosol Micrite,-3.9,22.3,-10,0.601,0.004,35.6,1.8,
54.7,CFB,1970,SC-64,SC-64,SNELL-SC-64,Paleosol Micrite,-3.6,22.5,-8.7,0.598,0.001,36.2,1.5,
55,CFB,1840,SC-33,SC-33,SNELL-SC-33,Paleosol Micrite,-6.1,21.8,-7.5,0.638,0.022,26.8,5.2,
55.5,CFB,1630,SC-15,SC-15,SNELL-SC-15,Paleosol Micrite,-4.2,21.8,-8.4,0.596,0.011,36.9,3.2,
55.7,CFB,1524,SC-351-Nod1,SC-351-n1,SNELL-SC-351-n1,Paleosol Micrite,-2.3,23,-14.6,0.582,0.024,40.4,6.4,
55.8,CFB,1520.5,PB-00-02-02,PB-00-02-02,PB-00-02-02,Paleosol Micrite,-3.6,22.4,-13.6,0.596,0.008,36.8,2.5,
55.8,CFB,1120,PB-00-02-32,PB-00-02-32,SNELL-PB-00-02-32,Paleosol Micrite,-3.8,22.3,-14.1,0.599,0.014,36,3.8,sample strat pos. estimated from Clyde et al. (2007) based on age estaimte given in Snell et al. (2013)
55.8,CFB,1120,PB-00-02-32-2,PB-00-02-32-2,SNELL-PB-00-02-32-2,Paleosol Micrite,-2.9,22.6,-14.1,0.585,0.011,39.7,3.2,
56,CFB,1305,SC-62,SC-62,SNELL-SC-62,Paleosol Micrite,-4.5,22.6,-8.1,0.619,0.017,31.2,4.3,
56.2,CFB,1280,SC-188,SC-188,SNELL-SC-188,Paleosol Micrite,-5.6,21.4,-6.9,0.618,0.025,31.4,6.1,
56.7,,794,SC-191,SC-191,SNELL-SC-191,Altered Paleosol carbonate,-4.4,19.8,-8.3,0.559,0.001,46.6,1.9,
54.1,,,SC-295-sp,SC-295-SPAR,SNELL-SC-295,Fracture Spar,-7.95,14.4,-12.4,0.525,0.005,56.6,3,
55.8,,,PB-00-02-32sp,PB-00-02-32-SPAR,PB-00-02-32,Fracture Spar,-6.34,16.5,-15.3,0.533,0.015,54.1,5.1,
54.9,,,15-91,15-91,,Bivalve Fossil,-6.5,19.5,-1.8,0.58,0.01,41.1,3.1,
55.2,,,91-31,91-31,,Bivalve Fossil,-5.5,19.8,-4.5,0.568,0.013,44.2,3.9,
55.7,,,3_92,3_92,,Bivalve Fossil,-4.1,21.1,-6,0.564,0.003,45.3,2,
55.7,,,28-91,28-91,,Bivalve Fossil,-5.6,19.4,-4.9,0.56,0.041,46.3,11.4,
57.1,,,16-92,16-92,,Bivalve Fossil,-6.9,18.3,-4.4,0.566,0.011,44.7,3.6,
57.1,,,34-91,34-91,,Bivalve Fossil,-7,18.7,-5.6,0.574,0.005,42.5,2.1,
