/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas; Röhl, Ursula; Donner, Barbara; Zachos, James C (2017): (DS01) Benthic stable isotope data for ODP Site 198-1209 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.883334, 
	In supplement to: Westerhold, T et al. (2018): Global extent of early eocene hyperthermal events - a new Pacific benthic foraminiferal isotope record from Shatsky Rise (ODP Site 1209). Paleoceanography and Paleoclimatology, 33(6), 626-642, https://doi.org/10.1029/2017PA003306
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: 32.651700 * LONGITUDE: 158.505983
	DATE/TIME START: 2001-09-18T00:00:00 * DATE/TIME END: 2001-09-23T00:00:00
	MINIMUM DEPTH, sediment/rock: 148.48 m * MAXIMUM DEPTH, sediment/rock: 237.96 m
Event(s):	198-1209 * LATITUDE: 32.651700 * LONGITUDE: 158.505983 * DATE/TIME START: 2001-09-18T00:00:00 * DATE/TIME END: 2001-09-23T00:00:00 * ELEVATION: -2387.3 m * PENETRATION: 865.1 m * RECOVERY: 766 m * LOCATION: North Pacific Ocean * CAMPAIGN: Leg198 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 83 cores; 759.4 m cored; 105.7 m drilled; 100.9% recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	AGE [ka BP] (Age) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: Tuned age
	Nuttallides truempyi, δ13C [‰ PDB] (N. truempyi δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Nuttallides truempyi, δ18O [‰ PDB] (N. truempyi δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Oridorsalis umbonatus, δ13C [‰ PDB] (O. umbonatus δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Oridorsalis umbonatus, δ18O [‰ PDB] (O. umbonatus δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Analytical method (Analyt method) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: Error
	Laboratory (Lab) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	14309 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Age [ka BP]	N. truempyi δ13C [‰ PDB]	N. truempyi δ18O [‰ PDB]	O. umbonatus δ13C [‰ PDB]	O. umbonatus δ18O [‰ PDB]	Analyt method	Comment	Lab	Reference
198-1209C-6H-3,46-48	148.96	162.580	45001.019	-0.0842	-0.0141			Finnigan MAT 251; Kiel III	(Solnhofen limestone) 0.04 per mil for d13C; 0.06 per mil for d18O	Bremen	this study
198-1209C-6H-3,50-52	149.00	162.622	45010.764	0.0077	0.2348			Finnigan MAT 251; Kiel III	(Solnhofen limestone) 0.04 per mil for d13C; 0.06 per mil for d18O	Bremen	this study
198-1209B-17H-1,87-89	148.48	163.080	45118.970	0.1142	0.2423			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-1,95-97	148.56	163.160	45136.736	-0.0035	0.3167			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-1,99-101	148.60	163.200	45145.618	0.1377	0.4321			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-1,111-113	148.72	163.320	45172.267	0.3114	0.2677			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-1,115-117	148.76	163.360	45181.149	0.1483	0.3274			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-1,119-121	148.80	163.400	45190.032	0.2622	0.5186			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-1,123-125	148.84	163.440	45198.915	0.1824	0.3586			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-1,127-129	148.88	163.480	45207.798	0.1733	0.4645			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-1,131-133	148.92	163.520	45216.680	0.3289	0.4558			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-1,135-137	148.96	163.560	45225.563	0.1526	0.3885			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-1,139-141	149.00	163.600	45234.446	0.0880	0.3423			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-1,143-145	149.04	163.640	45243.329	0.1897	0.4509			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-1,147-149	149.08	163.680	45252.211	0.1785	0.4888			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,1-3	149.12	163.720	45261.094	0.2026	0.4111			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,5-7	149.16	163.760	45269.977	0.2214	0.4707			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,9-11	149.20	163.800	45278.860	0.2074	0.4838			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-17H-2,13-15	149.24	163.840	45287.742	0.2469	0.5110			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-17H-2,17-19	149.28	163.880	45296.625	0.1827	0.4134			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
