"time_kyr_j2000","age_ma","eccentricity","obliquity_rad","precession_angle_rad","longitude_perihelion_rad","climatic_precession"
-59240,59.24,,,,,
-59239,59.239,0.0405682410232993,0.414757689101611,1.46128519325977,-17252.0715768933,0.0405038043341369
-59238,59.238,0.0405429901473076,0.413863872239166,1.21360784734528,-17251.7931510419,0.0391190704143207
-59237,59.237,0.0405640063352776,0.412777688717709,0.965486215401956,-17251.5146271122,0.0347134682836923
-59236,59.236,0.0405287438323959,0.411525608195043,0.716854662757095,-17251.2347227494,0.0275966705328458
-59235,59.235,0.0405157562006744,0.410129113404259,0.467613371949786,-17250.9540431824,0.0182773434404182
-59234,59.234,0.0404377135820953,0.408621490414855,0.217736129054541,-17250.6728819671,0.00754170169180616
-59233,59.233,0.0404197676377092,0.407034737900913,-0.0328748469699803,-17250.3906762081,-0.00381029004263677
-59232,59.232,0.0403541558914741,0.405403365205577,-0.284207419656401,-17250.1065553991,-0.014915293731129
-59231,59.231,0.0402422738175179,0.403768563749838,-0.536328198823857,-17249.8228629211,-0.0247098506551817
-59230,59.23,0.040147162941,0.402165200510802,-0.789203765231752,-17249.5381047141,-0.0325633402969986
-59229,59.229,0.0400248093821888,0.400637353416982,-1.04284689129115,-17249.2526311411,-0.0377147154986096
-59228,59.228,0.0398720925856499,0.399223206326563,-1.29721257456909,-17248.9663616583,-0.0397643489948087
-59227,59.227,0.0397021024138074,0.397958381502502,-1.55223067264437,-17248.6799029392,-0.0386133784815454
-59226,59.226,0.0395400905191288,0.396887429854246,-1.80785966869467,-17248.3927461283,-0.0342322251524961
-59225,59.225,0.0393298283629576,0.396030895065518,-2.06396502736136,-17248.1048358679,-0.0271018520616173
-59224,59.224,0.0391220236116746,0.395420230194578,-2.32045376544663,-17247.817782277,-0.0178374727111762
-59223,59.223,0.0389031956043057,0.39507081243043,-2.57718750719189,-17247.5302386246,-0.00721178137862533
-59222,59.222,0.0386636438434726,0.394998566739997,-2.83403612931672,-17247.2428656599,0.00388681940326751
-59221,59.221,0.0383846970948458,0.395206890503263,-1.64377427686007,-17246.9559609442,0.0144913683023875
-59220,59.22,0.0380921301401113,0.395693605671296,2.93569351284663,-17246.6705402475,0.0237133831953511
-59219,59.219,0.0378253110026878,0.396444410417481,2.67937488171379,-17246.384500502,0.0309347680485831
-59218,59.218,0.0374888380712962,0.397445977559093,2.42351377474284,-17246.100380911,0.035447627528354
-59217,59.217,0.0371944011093564,0.398665572714327,2.16822635639344,-17245.8172796985,0.037122056352074
-59216,59.216,0.0368729717215794,0.400075007959301,1.91363398345845,-17245.5350041573,0.0357780130904039
-59215,59.215,0.0365609460156836,0.4016276464288,1.65978976754596,-17245.2540645579,0.0317486780673681
-59214,59.214,0.0362117013161308,0.403287393644931,1.40681034141193,-17244.9746411443,0.0252426482642474
-59213,59.213,0.0359080700517753,0.404998600932558,1.15468363226052,-17244.6972245449,0.0170487305659828
-59212,59.212,0.0355581249666558,0.406714021496536,0.903445026885564,-17244.4198712366,0.00767765897279781
-59211,59.211,0.035231230702947,0.408380504319527,0.653074738239287,-17244.1450699719,-0.0020012163670732
-59210,59.21,0.0348826250314632,0.409952360174733,0.403518992078112,-17243.8715268638,-0.0113182859212584
-59209,59.209,0.0346308762958131,0.411375412543223,0.154740138780161,-17243.5993142553,-0.0196058587319017
-59208,59.208,0.0342997690481513,0.412616110166241,-0.0933787823706159,-17243.3276662804,-0.0262924166105988
-59207,59.207,0.0340362699370305,0.413630202301139,-0.340919249015962,-17243.0582478046,-0.0309501042564676
-59206,59.206,0.0337601411630468,0.414386997981927,-0.588011677719977,-17242.7887198891,-0.03330123194499
-59205,59.205,0.0335119265275209,0.414865552711057,-0.834790584066729,-17242.5207231705,-0.0332774465510644
-59204,59.204,0.0332568217453289,0.415046871667458,-1.08140125810006,-17242.2523816812,-0.0308624358398234
-59203,59.203,0.0330426923630151,0.414931008618283,-1.32798880768689,-17241.986177994,-0.0263966902260535
-59202,59.202,0.0328598990781785,0.414507714125418,-1.57471611197863,-17241.7181797356,-0.0200614761753748
-59201,59.201,0.0326616840869266,0.413804748242473,-1.82171701208883,-17241.4518761434,-0.0124506066893687
-59200,59.2,0.032524913950988,0.412833739504743,-2.06915084083205,-17241.1846698806,-0.00402614999488638
-59199,59.199,0.032390468425642,0.411630026299414,-2.31713193249221,-17240.9173139848,0.00461651665221472
-59198,59.198,0.0322821776775693,0.410231152837413,-2.56578914863793,-17240.6490054517,0.0128976387779453
