absolute_age_prior_id,event_name_standardized,event_type,mean_age_ma,age_error_ma,age_error_metric,timescale,calibration_basis,source_citation,source_locator,source_url,notes
BASE_C24N_1R,Base C24n.1r,magnetochron_boundary,53.020,,not reported as a symmetric uncertainty in the adopted GTS2020 table,GTS2020,Geomagnetic polarity chron boundary age adopted from GTS2020,"Gradstein et al. (2020), Geologic Time Scale 2020",GTS2020 geomagnetic polarity time scale; project calibration workbook row 35,https://doi.org/10.1016/C2020-1-02369-3,Equivalent to the top of C24n.2n.
BASE_C24N_2N,Base C24n.2n,magnetochron_boundary,53.120,,not reported as a symmetric uncertainty in the adopted GTS2020 table,GTS2020,Geomagnetic polarity chron boundary age adopted from GTS2020,"Gradstein et al. (2020), Geologic Time Scale 2020",GTS2020 geomagnetic polarity time scale; project calibration workbook row 36,https://doi.org/10.1016/C2020-1-02369-3,
BASE_C24N_2R,Base C24n.2r,magnetochron_boundary,53.250,,not reported as a symmetric uncertainty in the adopted GTS2020 table,GTS2020,Geomagnetic polarity chron boundary age adopted from GTS2020,"Gradstein et al. (2020), Geologic Time Scale 2020",GTS2020 geomagnetic polarity time scale; project calibration workbook row 37,https://doi.org/10.1016/C2020-1-02369-3,
BASE_C24N_3N,Base C24n.3n,magnetochron_boundary,53.900,,not reported as a symmetric uncertainty in the adopted GTS2020 table,GTS2020,Geomagnetic polarity chron boundary age adopted from GTS2020,"Gradstein et al. (2020), Geologic Time Scale 2020",GTS2020 geomagnetic polarity time scale; project calibration workbook row 38,https://doi.org/10.1016/C2020-1-02369-3,
BASE_WA0_PETM_ONSET,Base Wa0 / PETM CIE onset,biozone_and_chemostrat,55.900,,not specified for this adopted project datum,Westerhold et al. (2018) Bighorn Basin chronology,Base Wa0 is treated as synchronous with the PETM CIE onset at the adopted project age,"Westerhold et al. (2018), Synchronizing early Eocene deep-sea and continental records",Climatic Past 14:303-319; project convention uses 55.900 Ma,https://doi.org/10.5194/cp-14-303-2018,The publication discusses the PETM near 55.93 Ma; 55.900 Ma is the explicit project datum requested for base Wa0. Retain correlation uncertainty separately from numerical age uncertainty.
BASE_C24R,Base C24r,magnetochron_boundary,57.101,,not reported as a symmetric uncertainty in the adopted GTS2020 table,GTS2020,Geomagnetic polarity chron boundary age adopted from GTS2020,"Gradstein et al. (2020), Geologic Time Scale 2020",GTS2020 geomagnetic polarity time scale; project calibration workbook row 39,https://doi.org/10.1016/C2020-1-02369-3,
BASE_C25N,Base C25n,magnetochron_boundary,57.656,,not reported as a symmetric uncertainty in the adopted GTS2020 table,GTS2020,Geomagnetic polarity chron boundary age adopted from GTS2020,"Gradstein et al. (2020), Geologic Time Scale 2020",GTS2020 geomagnetic polarity time scale; project calibration workbook row 40,https://doi.org/10.1016/C2020-1-02369-3,
BASE_C25R,Base C25r,magnetochron_boundary,58.959,,not reported as a symmetric uncertainty in the adopted GTS2020 table,GTS2020,Geomagnetic polarity chron boundary age adopted from GTS2020,"Gradstein et al. (2020), Geologic Time Scale 2020",GTS2020 geomagnetic polarity time scale; project calibration workbook row 41,https://doi.org/10.1016/C2020-1-02369-3,
BASE_C26N,Base C26n,magnetochron_boundary,59.237,,not reported as a symmetric uncertainty in the adopted GTS2020 table,GTS2020,Geomagnetic polarity chron boundary age adopted from GTS2020,"Gradstein et al. (2020), Geologic Time Scale 2020",GTS2020 geomagnetic polarity time scale; project calibration workbook row 42,https://doi.org/10.1016/C2020-1-02369-3,
BASE_C26R,Base C26r,magnetochron_boundary,62.278,,not reported as a symmetric uncertainty in the adopted GTS2020 table,GTS2020,Geomagnetic polarity chron boundary age adopted from GTS2020,"Gradstein et al. (2020), Geologic Time Scale 2020",GTS2020 geomagnetic polarity time scale; project calibration workbook row 43,https://doi.org/10.1016/C2020-1-02369-3,
