MLA_sample_id,MLA_horizon_id,reactor_id,IPL_num,Name_full,comments,d17O,d.17O,d17O.err,d18O,d.18O,d18O.err,CAP.17O,CAP17O.err,d33,d33.err,d34,d34.err,d35,d35.err,d36,d36.err,33_mismatch,34_mismatch,dp17O_O2_SMOWSLAP,dp18O_O2_SMOWSLAP,Dp17O_O2_SMOWSLAP2,dp17Ocarb_SMOWSLAP,dp18Ocarb_SMOWSLAP,Dp17Ocarb_permeg_final_correction,final_correction?
PB-00-02-07D,PB-00-02-07D,31,5510,Data_3275 IPL-17O-5510 PB-00-02-07d-R31-1 1,,13.84192467,13.74699982,0.004365327,26.82977328,26.47616573,0.001617965,-0.232415683,0.004374557,3.505814776,0.004320823,6.399856201,0.001585774,6.973561121,0.149486772,94.0912088,0.061765547,0.026462185,0.024713228,14.22651361,27.2890222,-182.0901084,9.980089628,19.12812319,-119.5594164,TRUE
PB-00-02-07D,PB-00-02-07D,31,5512,Data_3277 IPL-17O-5512 PB-00-02-07d-R31-2 1,Previous sample is lost,14.04797938,13.95022062,0.004402359,27.17161834,26.80902329,0.002957631,-0.204943674,0.004650417,3.70976876,0.004357477,6.734899873,0.002898785,8.150095834,0.132528663,86.89619339,0.062633104,0.064814053,0.060717188,14.43526559,27.6301628,-153.4603706,10.1888416,19.46926379,-90.92967855,TRUE
PB-00-02-19,PB-00-02-19,31,5508,Data_3273 IPL-17O-5508 PB-00-02-19-R31-1 1,,13.74892718,13.6552675,0.005955095,26.61807257,26.26997524,0.001448977,-0.215279428,0.005848497,3.413765392,0.005894383,6.192367508,0.001420148,7.095946005,0.147132381,120.8172026,0.089990647,0.03517916,0.038868148,14.13403132,27.08100166,-164.7375551,9.88760734,18.92010266,-102.206863,TRUE
PB-00-02-19,PB-00-02-19,31,5509,Data_3274 IPL-17O-5509 PB-00-02-19-R31-2 1,,13.34136886,13.25315603,0.005058619,25.80921672,25.48178082,0.001137062,-0.201224245,0.004888881,3.010362129,0.005007047,5.399604744,0.001114438,6.396045756,0.155198225,129.9497796,0.073893769,0.087990522,0.091606557,13.71933505,26.26934613,-150.8797136,9.472911062,18.10844713,-88.34902152,TRUE
PB-00-03-08,PB-00-03-08,31,5502,Data_3267 IPL-17O-5503 PB-00-03-08-R31-1 1,"analysis 5502,  ran as 5503",11.68346588,11.61574079,0.0045529,22.66244207,22.40946382,0.001651633,-0.216456105,0.00438195,1.369361453,0.004506483,2.315438664,0.001618772,1.707504347,0.164462828,98.53285824,0.128966244,0.013902681,0.012718661,12.03571312,23.11557955,-169.3128797,7.789289141,14.95468055,-106.7821877,TRUE
PB-00-03-08,PB-00-03-08,31,5503,Data_3268 IPL-17O-5504 PB-00-03-08-R31-2 1,"analysis 5503,  ran as 5504",13.38194772,13.29320006,0.003741657,25.9319248,25.60139439,0.00189045,-0.22433618,0.003936235,3.050527288,0.003703511,5.519871414,0.001852837,6.918963746,0.150341342,104.6461004,0.064027724,0.006723805,0.00780226,13.76407326,26.39944078,-174.8314733,9.517649277,18.23854178,-112.3007812,TRUE
PB-00-03-16,PB-00-03-16,31,5504,Data_3269 IPL-17O-5504 PB-00-03-16-R31-1 1,,13.66016224,13.56770275,0.00522823,26.44114889,26.09762398,0.001403787,-0.211842708,0.005202395,3.32590541,0.005174929,6.018963919,0.001375857,7.537575255,0.129837506,91.40551166,0.064411093,0.015574768,0.013774846,14.04645052,26.90902645,-161.5154448,9.800026538,18.74812744,-98.98475274,TRUE
PB-00-04-16,PB-00-04-16,31,5506,Data_3271 IPL-17O-5506 PB-00-04-16-R31-1 1,,13.45180377,13.36213097,0.005453633,26.07924993,25.74498538,0.001383286,-0.231221313,0.005089596,3.119671157,0.005398033,5.664265344,0.001355764,6.699555055,0.154700909,121.0284021,0.101137733,0.06389579,0.061139259,13.83266363,26.54225187,-181.6453593,9.586239647,18.38135287,-119.1146672,TRUE
PB-00-04-16,PB-00-04-16,31,5507,Data_3272 IPL-17O-5507 PB-00-04-16-R31-2 1,,13.29944743,13.21178545,0.006068355,25.76403649,25.43773622,0.002801079,-0.219339275,0.005704908,2.968868084,0.006006488,5.355323423,0.002745348,6.368855,0.137450177,121.9501112,0.068616487,1.34E-07,6.78E-05,13.67736536,26.22536609,-169.6279361,9.430941374,18.06446708,-107.097244,TRUE
PB-00-01-07,PB-00-01-07,32,5695,Data_3461 IPL-17O-5695 PB-00-01-07-R32-01 1,,13.48196981,13.39189641,0.004079592,26.11460312,25.7794394,0.001737253,-0.219647591,0.003914084,3.149529657,0.004038001,5.698915142,0.001702688,6.447015321,0.124533794,574.3729873,0.12794795,0.046219024,0.042881123,15.18062147,29.07522535,-171.0975191,12.70348321,24.25162781,-101.3762754,TRUE
PB-00-01-07,PB-00-01-07,32,5696,Data_3462 IPL-17O-5696 PB-00-01-07-R32-02 1,,12.73794517,12.65749962,0.004254542,24.6973838,24.39733366,0.001238783,-0.224292552,0.004339189,2.413090339,0.004211167,4.309892977,0.001214136,4.122671707,0.143983283,587.3815861,0.143790497,0.08289083,0.07850542,14.40390833,27.61560878,-177.1331057,11.70796467,22.37760708,-107.411862,TRUE
PB-00-02-09L,PB-00-02-09L,32,5694,Data_3460 IPL-17O-5694 PB-00-02-09-R32-01 1,,11.94035747,11.86963344,0.004498177,23.18964159,22.92484765,0.001409967,-0.234686122,0.00457886,1.62363404,0.004452319,2.832148965,0.001381914,1.947024801,0.180258605,869.9388897,0.421944336,0.008038116,0.009031138,13.55037892,26.02328047,-189.9131669,10.61573557,20.33319601,-120.1919232,TRUE
PB-00-03-16,PB-00-03-16,32,5697,Data_3463 IPL-17O-5697 PB-00-03-16-R32-01 1,,13.09428925,13.00929972,0.004924807,25.33146041,25.0159363,0.001331492,-0.199114644,0.004740214,2.765801498,0.004874599,4.931353929,0.001305001,5.631796495,0.145452416,539.0469853,0.066945426,0.025467282,0.019442215,14.78125541,28.2781512,-149.6084213,12.1846309,23.22825393,-79.88717759,TRUE
PB-00-04-11,PB-00-04-11,32,5692,Data_3458 IPL-17O-5692 PB-00-04-11-R32-01 1,,12.54823722,12.47016018,0.004511085,24.33744276,24.04600624,0.001455689,-0.226131118,0.00442169,2.225316463,0.004465095,3.957113363,0.001426726,2.893042579,0.148146091,471.0054652,0.133654766,0.017464361,0.014529183,14.16085193,27.16189091,-180.6264701,11.39689321,21.7950728,-110.9052264,TRUE
PB-00-04-11,PB-00-04-11,32,5693,Data_3459 IPL-17O-5693 PB-00-04-11-R32-02 1,,12.58650361,12.50795164,0.004438722,24.40776292,24.11465329,0.001548628,-0.224585294,0.004456673,2.26319272,0.004393469,4.026034425,0.001517816,4.658736833,0.125172867,487.1518539,0.119892689,0.00012438,0.000729179,14.20997186,27.25120762,-178.6657619,11.45940226,21.90974768,-108.9445181,TRUE
PK95-SC-22,PK95-SC-22,32,5698,Data_3464 IPL-17O-5698 SC-22-PK95-R32-01 1,,12.86633371,12.78426538,0.003644783,24.96065431,24.65422578,0.00135263,-0.233165835,0.003591786,2.540169957,0.003607624,4.567925425,0.001325717,4.268302888,0.168744272,629.0634496,0.145688287,0.021416947,0.01952318,14.55089568,27.91088936,-186.0539023,11.89921638,22.75672166,-116.3326585,TRUE
PK95-SC-23,PK95-SC-23,32,5699,Data_3465 IPL-17O-5699 SC-23-PK95-R32-01 1,,13.37612707,13.28745612,0.004572377,25.89757168,25.56790904,0.001671693,-0.212399853,0.004513089,3.04476598,0.004525762,5.486201786,0.001638433,5.671972536,0.163299829,671.9012305,0.125370834,0.269451305,0.258672773,15.09008594,28.88834531,-162.9603836,12.58493323,24.01169009,-93.23913991,TRUE
PK95-SC-23,PK95-SC-23,32,5702,Data_3468 IPL-17O-5702 SC-23-PK95-R32-02 1,,12.37509028,12.29914443,0.004204934,23.97858092,23.69560928,0.001637548,-0.212137272,0.004249081,2.053934754,0.004162065,3.605391476,0.001604967,3.928492899,0.125695739,490.3902251,0.107893119,0.002961522,0.004010106,14.05520626,26.92998926,-163.8280691,11.25648407,21.49733125,-94.10682535,TRUE
PK95-SC-27,PK95-SC-27,32,5700,Data_3466 IPL-17O-5700 SC-27-PK95-R32-01 1,,12.43797595,12.36125946,0.004188355,24.11563977,23.82944966,0.001664078,-0.220689955,0.004125522,2.116179299,0.004145655,3.739723389,0.00163097,4.14713903,0.138446166,480.5366672,0.1093987,0.04650835,0.042860126,14.1102649,27.05194773,-173.1635042,11.32982502,21.65391531,-103.4422605,TRUE
PK95-SC-27,PK95-SC-27,32,5701,Data_3467 IPL-17O-5701 SC-27-PK95-R32-02 1,,12.95703541,12.87381069,0.004917134,25.09622828,24.78648939,0.001522789,-0.213455705,0.005066151,2.629946959,0.004867004,4.700801999,0.001492492,5.601645728,0.142573465,431.8743291,0.087661624,0.045268216,0.050596676,14.66161022,28.07964757,-164.4437019,12.0352288,22.97339253,-94.72245817,
PB-00-01-09D,PB-00-01-09D,33,5783,Data_3555 IPL-17O-5783 PB-00-01-09D-R33-01 1,,13.62197402,13.53002876,0.003390719,26.34035671,25.99942339,0.001294283,-0.197666793,0.003349917,3.288106524,0.00335615,5.92017711,0.001268532,6.760603892,0.146600316,449.3271758,0.106741286,0.006220121,0.008560616,16.10496146,30.80251213,-158.7649497,11.8416866,22.64160231,-82.99633334,TRUE
PB-00-02-09L,PB-00-02-09L,33,5780,Data_3552 IPL-17O-5780 PB-00-02-09-R33-02 1,,13.19952645,13.11316889,0.013169388,25.45289492,25.13436186,0.010687605,-0.158090856,0.013511963,2.864765993,0.015712534,5.056843823,0.009985732,6.335287528,0.264081252,776.3878,0.223368204,0.004726518,0.003826226,15.59187571,29.77013325,-126.7546448,11.32860086,21.60922343,-50.9860284,TRUE
PB-00-03-14,PB-00-03-14,33,5781,Data_3553 IPL-17O-5781 PB-00-03-14-R33-01 1,,13.5463595,13.45542753,0.004087541,26.21330329,25.87562303,0.001770489,-0.206901429,0.004236336,3.213262891,0.004045868,5.795651562,0.001735263,6.941378176,0.13932594,517.2431581,0.090659694,0.041564025,0.035646973,16.01661523,30.65366084,-168.5176921,11.75334038,22.49275102,-92.74907573,TRUE
PB-00-03-14,PB-00-03-14,33,5782,Data_3554 IPL-17O-5782 PB-00-03-14-R33-02 1,,13.46486297,13.37501677,0.005348489,26.05799623,25.72427164,0.001702749,-0.207398654,0.00489802,3.132597223,0.005293962,5.643434513,0.001668871,5.842760665,0.15296617,476.3195363,0.099303954,0.025042658,0.022941872,15.91988596,30.47168246,-169.1623852,11.6566111,22.31077264,-93.3937688,TRUE
PK95-SC-118up,PK95-SC-118up,34,5833,Data_3610 IPL-17O-5833 PK95-SC-118UPPER-R34-01 1,,12.32504692,12.24971157,0.004177504,23.8466852,23.56679388,0.001580281,-0.193555597,0.004233169,2.004401586,0.00413491,3.476119969,0.001548839,3.172523239,0.151928418,92.28008936,0.062074868,0.041550425,0.044439988,14.25972319,27.28674154,-147.6763464,9.996448332,19.12583172,-86.85811596,TRUE
PK95-SC-118up,PK95-SC-118up,34,5836,Data_3613 IPL-17O-5836 PK95-SC-118UPPER-R34-02 1,,13.23365677,13.1468564,0.005198346,25.60435758,25.28205591,0.00200111,-0.202069126,0.00534244,2.903748164,0.00514535,5.198821501,0.001961296,6.557783168,0.121993662,90.99660795,0.058499594,0.00956707,0.01797498,15.37739927,29.41737789,-154.9762556,11.11412442,21.25646807,-94.15802516,TRUE
PK95-SC-160,PK95-SC-160,34,5829,Data_3606 IPL-17O-5829 PK95-SC-160-R34-01 1,,12.7460424,12.66549506,0.00366301,24.73017112,24.42933017,0.002015855,-0.233191267,0.003537018,2.421105019,0.00362567,4.342027951,0.001975748,5.247197071,0.148841301,102.2137296,0.059238495,0.0000434,0.0000106,14.78479837,28.35817291,-188.3169256,10.52152352,20.19726309,-127.4986952,TRUE
PK95-SC-160,PK95-SC-160,34,5846,Data_3623 IPL-17O-5846 PK95-SC-160-R34-02 1,,12.81412063,12.73271415,0.004154839,24.80690837,24.5042127,0.001799086,-0.205510157,0.00433796,2.488489187,0.00411248,4.417238425,0.001763291,4.634915558,0.161138817,116.9224511,0.047427837,0.006063606,0.005218686,14.86292336,28.45118905,-159.3044588,10.5996485,20.29027922,-98.48622836,TRUE
PK95-SC-160,PK95-SC-160,34,5847,Data_3624 IPL-17O-5846 PK95-SC-160-R34-03 1,"ran as IPL 5846, ACTUALLY IS 5847. Changed IPL # here but DID NOT CHANGE SAMPLE NAME ",13.21238435,13.12586178,0.00399814,25.5851898,25.26336652,0.001524807,-0.213195744,0.003950613,2.882692619,0.00395738,5.180035089,0.001494469,5.917884725,0.157014571,121.0522984,0.065747928,0.067743674,0.070992869,15.35349087,29.39416346,-166.627434,11.09021602,21.23325363,-105.8092036,TRUE
