'Order','Type1','Type2','User','Status','SampleID','AnalyID','Order'2,'Date_Time','AcidTemp','d13CPDBraw','d18OPDBgasraw','d45vref','d46vref','d47vref','d48vref','d9vref','D47vref'3,'D48vref'4,'D49vref','D47@d47=0','D48@d487=0','D49@d49=0','d13CPDB','d18OPDBmin','D47_90 CDES','D47_90 iCDES+','D47_90_iCDES','D48_90 CDES','D48_90 iCDES+','D48_90_iCDES','D49_90 CDES','D49_90 iCDES+','D47_90_iCDES'5,'T(D47)CDES','TD47iCDES+','T(D47)iCDES',mean,SE_1sigma
4336,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-118up-01','IPL-CI-4700 PK95-SC-118up-01',4336,'2/16/2026 2:06:32 PM',90,-8.580945804,-1.545948089,1.81211164,-2.67627357,-1.109086615,-5.52006911,-31.1495128,-0.360378733,-0.183466472,-27.97099391,-0.359109622,-0.182473952,-17.68130776,-8.863295594,-9.528890792,0.567835973,0.565030722,0.562732526,0.173504953,0.173214917,0.172314334,5.912016706,1.095483853,-0.067198502,37.01292195,38.1114602,39.02018608,,
4393,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-118up-02','IPL-CI-4760 PK95-SC-118up-02',4393,'3/6/2026 9:19:49 AM',90,-8.498843223,-1.739040354,1.881992219,-2.868797662,-1.236126978,-5.845441288,-24.46990415,-0.359617821,-0.129237442,-20.92571234,-0.358257938,-0.123857768,-12.86597468,-8.781193013,-9.720426146,0.574214209,0.56755947,0.562732221,0.243042942,0.243809535,0.248778191,-0.956600279,0.892577583,1.606298835,34.55786766,37.12068445,39.02030737,39.02024673,6.06446E-05
4264,'Sample','Matthew''s BHB Carbs','euf','include','PK95-SC-165-01','IPL-CI-4621 PK95-SC-165-01',4264,'1/14/2026 5:44:01 PM',90,-8.197797633,-0.323590036,2.215801534,-1.455715928,0.517042401,-2.991116196,-27.66925678,-0.345144843,-0.101639145,-27.20046043,-0.345765333,-0.103899198,-18.02690826,-8.480147424,-8.316388661,0.575353565,0.57747362,0.578361677,0.261432577,0.260392483,0.258535096,10.70338415,0.636449098,-0.1909609,34.12542316,33.32558248,32.99239343,,
4346,'Sample','Matthew''s BHB Carbs','euf','include',PK95-SC-165-02','IPL-CI-4710 PK95-SC-165-02',4346,'2/19/2026 9:52:33 AM',90,-6.899384098,-0.254427134,3.444155753,-1.383968951,1.856666434,-2.848589627,-24.19936526,-0.336116685,-0.108226753,-25.18142356,-0.338226853,-0.107344495,-17.19166482,-7.181733889,-8.247783422,0.591283106,0.587849216,0.58524218,0.260439641,0.260657119,0.263815999,4.906873371,1.141915558,0.095580379,28.26415559,29.49928257,30.44720734,,
4381,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-165-03','IPL-CI-4747 PK95-SC-165-03',4381,'2/28/2026 11:22:09 AM',90,-6.906370906,-0.219416859,3.438316125,-1.34905087,1.905595352,-2.775452585,-20.04368341,-0.328834512,-0.098662498,-21.06528909,-0.330948608,-0.096540884,-14.45938582,-7.188720697,-8.213055436,0.602242317,0.596515623,0.592597896,0.274202049,0.275050485,0.281715297,0.891939984,1.068117611,1.039564303,24.42113031,26.41082532,27.79522955,30.41161011,1.500397554
4259,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-176-01','IPL-CI-4615 PK95-SC-176-01',4259,'1/12/2026 1:58:39 PM',90,-8.984669642,-0.281500433,1.475263829,-1.415359797,-0.236104933,-2.928150109,-27.77083924,-0.377032173,-0.123931911,-26.63901218,-0.376747914,-0.126334593,-17.42944565,-9.267019432,-8.274638428,0.540857208,0.543424236,0.544865059,0.235542773,0.23449517,0.232818055,9.49271345,0.681348205,-0.013664932,48.088131,46.98293996,46.36759366,,
4399,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-176-02','IPL-CI-4766 PK95-SC-176-02',4399,'3/7/2026 7:02:34 PM',90,-8.984417272,-0.377308088,1.471415806,-1.510970326,-0.332555204,-3.18029328,-22.2276214,-0.366581396,-0.166794359,-20.86104385,-0.366204643,-0.16375399,-13.58951603,-9.265995165,-8.370407837,0.566342342,0.559765569,0.554837093,0.197005879,0.195706793,0.194965725,-0.130301072,0.959487124,1.359328858,37.59637816,40.20520213,42.20384039,44.28571703,2.081876635
4342,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-179-02','IPL-CI-4706 PK95-SC-179-02',4342,'2/18/2026 9:08:43 AM',90,-7.503373593,-0.203842731,2.873899117,-1.33474983,1.305569572,-2.768693935,-25.6589617,-0.366568037,-0.127678175,-26.16405762,-0.36805591,-0.12696454,-17.69066648,-7.785723383,-8.197606883,0.558780476,0.555546221,0.55292321,0.237676456,0.237728732,0.239621224,5.753641018,1.130588354,-0.068409398,40.60164715,41.91391217,42.99034888,,
4401,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-179-03','IPL-CI-4769 PK95-SC-179-03',4401,'3/8/2026 6:05:01 PM',90,-7.380413745,-0.379030559,2.984803106,-1.50932596,1.255906923,-3.08178554,-19.03275345,-0.336089317,-0.065582144,-19.24007644,-0.337510534,-0.062556813,-13.01465237,-7.661991638,-8.372116419,0.597044772,0.590481667,0.585923052,0.314227928,0.314427018,0.332356953,-0.766756669,0.888007976,1.561008436,26.22530105,28.55106997,30.19878149,36.59456519,6.395783694
4256,'Sample','Matthew''s BHB Carbs','mla','include','PK95-SC-185-01','IPL-CI-4611 PK95-SC-185-01',4256,'1/10/2026 2:46:42 PM',90,-8.76476486,-0.581372309,1.671675524,-1.714141575,-0.297063355,-3.458624129,-29.244207,-0.341495407,-0.047375846,-27.71378831,-0.341137067,-0.050348605,-18.01413734,-9.047114651,-8.572092425,0.579659449,0.58231376,0.583504004,0.322495339,0.321146452,0.31763822,11.5857362,0.590544416,-0.188418115,32.50743185,31.52268359,31.084184,,
