experiment,co2_multiple,period,d18O_precip_permil_vsmow,precip_mm_period,months
3x_orbmod,3,annual,-12.248681469568922,986.6687473133353,"1,2,3,4,5,6,7,8,9,10,11,12"
3x_orbmod,3,DJF,-15.808650829325476,105.92853825711632,"12,1,2"
3x_orbmod,3,MAM,-12.325335099967138,284.61215761605985,"3,4,5"
3x_orbmod,3,JJA,-10.307640384199846,355.9786015521205,"6,7,8"
3x_orbmod,3,SON,-13.464800061007697,240.14944988803853,"9,10,11"
3x_orbmin,3,annual,-12.107568893412246,1021.203211315928,"1,2,3,4,5,6,7,8,9,10,11,12"
3x_orbmin,3,DJF,-15.825406230868921,93.9554799116598,"12,1,2"
3x_orbmin,3,MAM,-12.258257194428634,259.38792307815817,"3,4,5"
3x_orbmin,3,JJA,-10.267751035836215,433.04276498599137,"6,7,8"
3x_orbmin,3,SON,-13.846462708880791,234.81704334011866,"9,10,11"
3x_orbmaxn,3,annual,-11.617818943346014,757.7336569350372,"1,2,3,4,5,6,7,8,9,10,11,12"
3x_orbmaxn,3,DJF,-16.423491428210646,72.87710795186118,"12,1,2"
3x_orbmaxn,3,MAM,-12.258094504340345,267.7035871331057,"3,4,5"
3x_orbmaxn,3,JJA,-8.827409679664111,256.0177068856362,"6,7,8"
3x_orbmaxn,3,SON,-12.814121981147064,161.13525496443404,"9,10,11"
3x_orbmaxs,3,annual,-12.403165386452365,996.0875985944717,"1,2,3,4,5,6,7,8,9,10,11,12"
3x_orbmaxs,3,DJF,-15.745528505286543,90.24722097344613,"12,1,2"
3x_orbmaxs,3,MAM,-11.857630921771612,257.9219539928346,"3,4,5"
3x_orbmaxs,3,JJA,-10.79122515464459,358.92513050814756,"6,7,8"
3x_orbmaxs,3,SON,-13.848292942414965,288.9932931200434,"9,10,11"
6x_orbmod,6,annual,-10.990332575600448,789.5470431675628,"1,2,3,4,5,6,7,8,9,10,11,12"
6x_orbmod,6,DJF,-15.138824167271636,67.85756642353758,"12,1,2"
6x_orbmod,6,MAM,-9.75879522115397,266.1213247623806,"3,4,5"
6x_orbmod,6,JJA,-9.219969935513216,184.64311369470465,"6,7,8"
6x_orbmod,6,SON,-12.367529359791686,270.9250382869399,"9,10,11"
6x_orbmin,6,annual,-10.813190893602664,813.737386195909,"1,2,3,4,5,6,7,8,9,10,11,12"
6x_orbmin,6,DJF,-14.800366179548718,61.255976631965915,"12,1,2"
6x_orbmin,6,MAM,-9.925386012167081,270.88746479222436,"3,4,5"
6x_orbmin,6,JJA,-8.75120057022949,215.97274057829628,"6,7,8"
6x_orbmin,6,SON,-12.475673318723457,265.6212041934225,"9,10,11"
6x_orbmaxn,6,annual,-10.40573013962387,739.079909960803,"1,2,3,4,5,6,7,8,9,10,11,12"
6x_orbmaxn,6,DJF,-16.143739175081826,74.65230338869858,"12,1,2"
6x_orbmaxn,6,MAM,-10.273646200642528,276.03571843641816,"3,4,5"
6x_orbmaxn,6,JJA,-7.0544449181448865,166.68149834284662,"6,7,8"
6x_orbmaxn,6,SON,-11.157618826810655,221.71038979283963,"9,10,11"
6x_orbmaxs,6,annual,-11.024116954109875,887.5866500826404,"1,2,3,4,5,6,7,8,9,10,11,12"
6x_orbmaxs,6,DJF,-15.072748712931073,79.53795585149552,"12,1,2"
6x_orbmaxs,6,MAM,-9.692419310592616,297.0589165691706,"3,4,5"
6x_orbmaxs,6,JJA,-9.247677671605947,208.9808650477476,"6,7,8"
6x_orbmaxs,6,SON,-12.496969488728137,302.0089126142267,"9,10,11"
