simulation,mean annual precip,mean summer precip,mean winter precip,mean annual soil water,mean summer soil water,mean winter soil water,max soil water,min soil water
3x orbmod,-13.22,-10.22,-15.79,-11.25,-11.51,-11.09,-10.2,-12.24
3x orbmin,-13.29,-10.18,-15.84,-10.84,-11.01,-10.75,-9.63,-11.94
3x orbmaxn,-13.06,-8.81,-16.52,-11.13,-11.41,-10.93,-10.5,-11.78
3x orbmaxs,-13.25,-10.73,-15.81,-11.25,-11.36,-11.2,-10.14,-12.23
6x orbmod,-11.94,-9.26,-15.1,-10.61,-10.61,-10.64,-9.96,-11.17
6x orbmin,-11.79,-8.79,-14.72,-10.34,-10.33,-10.38,-9.77,-10.89
6x orbmaxn,-11.83,-7.18,-16.27,-10.19,-10.35,-10.08,-9.58,-10.8
6x orbmaxs,-11.86,-9.37,-14.84,-10.51,-10.43,-10.58,-9.8,-11.1
3x_mean,-13.21,-9.99,-15.99,-11.12,-11.32,-10.99,-10.12,-12.05
6x_mean,-11.86,-8.65,-15.23,-10.41,-10.43,-10.42,-9.78,-10.99
