Sample_ID,Age (Ma),Epoch,Section,Type,d13Ccarb,d13C SD,d13C_SE,d18Ocarb,d18O SD,d18O_SE,∆47 a,∆47_SD,∆47 SE,n (# of replicates),T(∆47) b,T(∆47) SE,T(∆47) 95 % CI,d18Owater,d18Ow error ,
BB-TF2-14-002,68.9,Cretaceous,TF,Micrite,-9.0,0.04,0.04,-3.6,0.1,0.1,0.5429,0.042,0.030,2,48,11,47,3.1,-2.6,
BB12-077,68.0,Cretaceous,TF,Micrite,-9.6,0.04,0.02,-4.2,0.0,0.0,0.5468,0.029,0.015,4,47,5,15,2.3,-1.1,
BB-TF2-14-030,66.0,Cretaceous,TF,Radial,-10.9,0.04,0.03,-5.2,0.1,0.1,0.5608,0.021,0.012,3,41,4,14,0.3,-1.0,
BB-TF2-14-036,65.7,Paleocene,TF,Spar,-3.6,0.04,0.04,-7.4,0.0,0.0,0.5187,0.021,0.015,2,58,6,27,1.0,-1.4,
BB12-098,65.0,Paleocene,TF,Micrite,-11.5,0.05,0.03,-6.0,0.0,0.0,0.5972,0.045,0.023,4,29,7,19,-2.9,-1.5,
BB12-102,64.7,Paleocene,TF,Micrite,-11.8,0.05,0.03,-5.8,0.1,0.1,0.6305,0.044,0.022,4,18,6,17,-4.8,-1.5,
BB-TF2-14-064,64.1,Paleocene,TF,Micrite,-10.8,0.04,0.02,-5.1,0.1,0.1,0.6178,0.034,0.017,4,22,5,14,-3.3,-1.2,
BB12-047,63.6,Paleocene,TF,Micrite,-10.6,0.04,0.02,-6.0,0.1,0.1,0.6022,0.045,0.023,4,27,7,19,-3.2,-1.5,
BB12-056,62.5,Paleocene,TF,Micrite,-10.3,0.08,0.05,-4.6,0.2,0.1,0.6073,0.023,0.012,4,25,4,10,-2.2,-0.8,
BB12-062,61.7,Paleocene,TF,Micrite,-11.8,0.05,0.03,-5.3,0.1,0.1,0.6054,0.028,0.014,4,26,4,12,-2.7,-1.0,
BB12-071,60.6,Paleocene,TF,Micrite,-10.3,0.03,0.02,-4.3,0.1,0.1,0.6044,0.038,0.019,4,26,6,16,-1.7,-1.3,
BB12-041,59.7,Paleocene,TF,Micrite,-9.6,0.10,0.06,-4.3,0.2,0.1,0.6250,0.021,0.011,4,20,3,9,-3.0,-0.7,
BB12-013,58.4,Paleocene,TF,Micrite,-9.7,0.03,0.02,-3.6,0.0,0.0,0.5899,0.021,0.012,3,31,4,13,0.0,-0.9,
BB10-001,57.6,Paleocene,TF,Micrite,-9.2,0.08,0.04,-3.6,0.2,0.1,0.6083,0.035,0.016,5,25,5,12,-1.2,-1.0,
BB10-011,56.9,Paleocene,TF,Micrite,-9.2,0.02,0.01,-4.1,0.1,0.1,0.6121,0.028,0.014,4,24,4,12,-2.0,-1.0,
BB10-019,56.4,Paleocene,TF,Micrite,-9.5,0.10,0.06,-4.2,0.2,0.1,0.5930,0.040,0.020,4,30,6,17,-0.8,-1.4,
BB-TF1-14-004B,55.8,Eocene,TF,Micrite,-9.2,0.03,0.01,-4.4,0.3,0.1,0.5994,0.056,0.023,6,28,7,17,-1.5,-1.5,
BB-TF1-14-004Bnod2,55.8,Eocene,TF,Micrite,-9.3,0.02,0.01,-4.2,0.1,0.0,0.5689,0.021,0.011,4,38,4,10,0.7,-0.8,
BB10-032,55.4,Eocene,TF,Micrite,-9.0,0.08,0.05,-4.7,0.2,0.1,0.6028,0.021,0.011,4,27,3,9,-2.0,-0.7,
BB10-035,55.0,Eocene,TF,Micrite,-9.6,0.01,0.01,-4.8,0.1,0.1,0.6170,0.025,0.014,3,22,4,14,-3.0,-1.1,
BB-TF3-14-003,54.7,Eocene,TF,Spar,-11.7,0.03,0.03,-9.6,0.1,0.1,0.4590,0.021,0.015,2,88,8,34,3.3,-1.5,
BB-TF3-14-012,53.9,Eocene,TF,Micrite,-11.0,0.03,0.02,-5.0,0.1,0.1,0.5939,0.039,0.020,4,30,6,17,-1.7,-1.4,
BB-TF3-14-012nod2,53.9,Eocene,TF,Micrite,-10.9,0.07,0.04,-4.7,0.1,0.1,0.5581,0.039,0.020,4,42,7,19,1.0,-1.4,
BB-TF3-14-027,52.7,Eocene,TF,Micrite,-10.2,0.03,0.02,-4.6,0.1,0.1,0.6005,0.029,0.015,4,27,5,13,-1.7,-1.0,
PS2-Bk,55.9,Eocene,GH,Micrite,-9.4,0.18,0.09,-4.7,0.1,0.1,0.5712,0.028,0.013,5,37,4,11,0.1,-0.9,
PS3-Bk,55.85,Eocene,GH,unknown,-9.6,0.02,0.02,-5.1,0.2,0.2,0.5228,0.021,0.015,2,56,6,26,3.1,-1.4,
PS4-Bk,55.8,Eocene,GH,Micrite,-9.8,0.12,0.05,-4.9,0.1,0.0,0.5979,0.033,0.012,8,28,4,8,-1.9,-0.8,
PS5-Bk,55.7,Eocene,GH,Micrite,-9.1,0.25,0.10,-4.6,0.2,0.1,0.5880,0.032,0.012,7,32,4,9,-0.9,-0.8,
PS7-Bk1,55.4,Eocene,GH,Micrite,-9.2,0.13,0.06,-4.6,0.2,0.1,0.5864,0.021,0.009,6,32,3,7,-0.8,-0.6,
PS7-Bk2,55.4,Eocene,GH,Micrite,-9.2,0.16,0.07,-4.4,0.2,0.1,0.5870,0.028,0.011,6,32,4,9,-0.6,-0.8,
PS12-Bk,55,Eocene,GH,Micrite,-9.0,0.10,0.04,-3.9,0.1,0.0,0.5877,0.021,0.009,6,32,3,7,-0.2,-0.6,
